id,term,definition
158,Security plan, a formal document that provides the systematic design for implementing an organization’s security goals. It is a blueprint for how an organization secures its assets. It establishes the performance goals for the system and metrics for performance. Security plans are designed according to a site-specific risk assessment.
159,Segregated waste categorization," the procedures for categorizing, segregating, color-coding, storing, transporting, and tracking laboratory waste."
160,Select agents," a subset of biological agents and toxins having the potential to pose a severe threat to public health and safety, to animal or plant health, or to animal or plant products. "
161,Sensitive information," privileged or proprietary information which, if compromised through alteration, corruption, loss, misuse, or unauthorized disclosure, could cause serious harm to the organization owning it. Sensitive information, which includes protected information, can only be released to the subject of the information and to those who have a legitimate need to know, to outside entities with the subject’s written permission, and to others as allowed by law. In many cases, the use of this information is protected by either national, regional or local laws or guidelines. Service level agreement (SLA) is  a contractual agreement between an internal or external service provider and the customer that specifies performance guarantees with associated penalties should the service not be performed as contracted."
162,Sharps," items capable of cutting or piercing human skin. Examples include hypodermic needles, syringes (with or without attached needles), Pasteur pipettes, scalpel blades, suture needles, blood vials, needles with attached tubing, and culture dishes (regardless of presence of infectious agents). Also included are other types of broken or unbroken glassware (e.g., microscope slides and cover slips)."
163,Software development life cycle (SDLC), a guideline for developing systems or software that involves progressive phases spanning the life cycle of the system from initiation to disposition.
164,Staff engagement," the heightened connection between staff and their work, their organization, or the persons for or with whom they work. Engaged staff find personal meaning in their work, take pride in what they do and where they do it, and believe that their organization values them."
165,Standard operating procedures (SOPs), established procedures to be followed in carrying out a given operation or in a given situation. Development of procedures is based on prudent laboratory practices that conform to safety guidelines and regulatory requirements.
166,Strain typing methods," methods to distinguish different strains of infectious agents. Examples include pulse-field gel electrophoresis (PFGE), multiple-locus variable number tandem repeat analysis (MLVA), and whole-genome sequencing (WGS). Strategic thinking is  a process by which a person develops a vision or goal and then works backward to develop a plan to accomplish that vision or goal."
167,Systems thinking," the set of habits or processes that permits a person to approach problems by visualizing and understanding interrelationships rather than linear-cause- effect chains, and by perceiving change as a series of on-going processes or events rather than as a single endpoint."
168,Training evaluation process," the gathering of information or data that takes place at the end of the training implementation or a specified period of time following training. It measures the effectiveness of the training (e.g., participant learning outcomes). Training evaluation tools are  methods that include assessment of skills and knowledge gaps, impact evaluation, return on investment, and participant reaction evaluation. It is usually an assessment tool administered to participants after the training activity to determine whether or not course design efforts were successful from the participants’ perspectives."
169,Training modality," the delivery method used to provide training and education (e.g., in-person seminars, eLearning, web- based interaction, conferences, workshops, or teleconferences). Training report is  a document produced during the development of, and following, the delivery of a training activity. Reports might include training program evaluation summaries, attendance and continuing education credits awarded summaries, or statement of deliverables and outcomes realized through a training activity included in a funding reconciliation report."
170,Transportation security plan," a written security plan based on an assessment of possible transportation-related security risks for shipments of hazardous materials that includes appropriate measures to address these risks. The security plan should address staff security, unauthorized access, and en-route security."
171,Validation," the action (or process) of proving that a new procedure, process, test system, or method used works as expected and achieves the intended results. It includes determination of performance characteristics (i.e., accuracy, precision, sensitivity, specificity). Examples include validation of a new diagnostic assay or information system."
172,Verification, the ongoing process that confirms specified requirements (predetermined by validation) are fulfilled. Verification is needed when the laboratory replaces a test system or instrument; adds a new test; or changes the manufacturer of a test kit. The laboratory must verify the manufacturer’s performance specifications are substantiated. 
173,Vocabulary standard," vocabularies and systems of encoding data that have been defined by various standards development organizations. Reliance on these standards for terminology and coding of data greatly improves semantic understanding and, therefore, the value of the data in analyses and decision-making. "
174,Waste management plan," a written set of procedures that describe decontamination practices and how the different waste streams (e.g., biologic, chemical, or radiological) generated in the laboratory will be handled to comply with regulatory and organizational requirements."
175,Work practices," actions performed by workers, such as decontaminating a work surface, with the goal of preventing or reducing the risk of exposure to hazardous materials or situations. "
176,Workflow," 1) sequential steps in a laboratory’s activities that transform a submitter’s test order into the laboratory information captured in the report of results, including pre- examination, examination, and postexamination procedures; 2) all of the tasks, in the proper order, required to carry out a process."
